,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm - rbf - 0.001,4461,"[2546, 4408, 53, 355903]",0.366120218579235,0.9796075413620623,6954,0.5330262744687533,2546,355903,4408,53
1,nn - relu - 2000,1137,"[2507, 1045, 92, 359266]",0.7057995495495496,0.9646017699115044,3552,0.8151520078036092,2507,359266,1045,92
2,lg - l2 - 0.005,1738,"[2511, 1650, 88, 358661]",0.6034607065609229,0.966140823393613,4161,0.7428994082840237,2511,358661,1650,88
3,stack bagging,1031,"[2505, 937, 94, 359374]",0.7277745496804183,0.9638322431704501,3442,0.8293328919053137,2505,359374,937,94
4,stack bagging,1031,"[2505, 937, 94, 359374]",0.7277745496804183,0.9638322431704501,3442,0.8293328919053137,2505,359374,937,94
5,stack bagging,1031,"[2505, 937, 94, 359374]",0.7277745496804183,0.9638322431704501,3442,0.8293328919053137,2505,359374,937,94
