,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.9873314262362076,0.996526358806702,0.0,0.9879444217409072,0.9991826726604005,0.9987740089906008
1,0.002,0.9955046996322027,0.9971393543114018,0.9186759297098488,0.9887617490805067,0.9993870044953004,0.9991826726604005
2,0.005,0.9973436861463016,0.9991826726604005,0.9916223947691051,0.9912137310993052,0.9993870044953004,0.9993870044953004
3,0.01,0.9977523498161014,0.9991826726604005,0.9906007355946056,0.9936657131181038,0.9987740089906008,0.9991826726604005
4,0.02,0.9977523498161014,0.9991826726604005,0.9930527176134042,0.994891704127503,0.9991826726604005,0.9991826726604005
5,0.05,0.9979566816510013,0.9991826726604005,0.9930527176134042,0.996526358806702,0.9995913363302003,0.9991826726604005
6,0.1,0.9987740089906008,0.9991826726604005,0.9930527176134042,0.9971393543114018,0.9993870044953004,0.9989783408255006
7,0.2,0.9987740089906008,0.9991826726604005,0.9961176951369023,0.9975480179812015,0.9991826726604005,0.9987740089906008
8,0.5,0.9987740089906008,0.9993870044953004,0.9977523498161014,0.9977523498161014,0.9991826726604005,0.9981610134859011
9,1.0,0.9987740089906008,0.9993870044953004,0.9977523498161014,0.9977523498161014,0.9991826726604005,0.9981610134859011
10,5.0,0.9981610134859011,0.9993870044953004,0.9981610134859011,0.9981610134859011,0.9981610134859011,0.9975480179812015
11,10.0,0.9981610134859011,0.9995913363302003,0.9981610134859011,0.9981610134859011,0.9977523498161014,0.9971393543114018
12,20.0,0.9981610134859011,0.9995913363302003,0.9981610134859011,0.9981610134859011,0.9975480179812015,0.996526358806702
13,50.0,0.998365345320801,0.9995913363302003,0.9981610134859011,0.9981610134859011,0.9969350224765018,0.9938700449530037
14,100.0,0.998365345320801,0.9995913363302003,0.9981610134859011,0.9981610134859011,0.9955046996322027,0.9906007355946056
15,200.0,0.998365345320801,0.9995913363302003,0.9981610134859011,0.9979566816510013,0.9936657131181038,0.9877400899060074
16,500.0,0.998365345320801,0.9995913363302003,0.9981610134859011,0.9979566816510013,0.9887617490805067,0.0
17,1000.0,0.998365345320801,0.9997956681651001,0.9981610134859011,0.9979566816510013,0.9865140988966081,1.0
18,2000.0,0.998365345320801,0.9997956681651001,0.9981610134859011,0.9979566816510013,1.0,0.0
19,5000.0,0.998365345320801,0.9997956681651001,0.9981610134859011,0.9979566816510013,1.0,1.0
