,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic
0,0.001,0.8445859872611465,0.7949177877428999,0.060824284135322065,0.9254362771020623,0.35218221315252457,0.1988312800089329
1,0.002,0.810407790626902,0.6125960766318688,0.060824284135322065,0.9127796081151379,0.33143352744393506,0.25515857852502866
2,0.005,0.7250714188545776,0.47872435725163487,0.06525944609055513,0.8843196255432967,0.35134957641032377,0.3282738278129417
3,0.01,0.5616770251764458,0.3846098525710176,0.06525944609055513,0.8606158833063209,0.3383506197824437,0.35570648555067247
4,0.02,0.2955124653739612,0.21257496921793703,0.06524645253075291,0.8314080549484859,0.3346259694771078,0.2453531598513011
5,0.05,0.3278869778869779,0.09525504574093191,0.32206975760140244,0.7863676600767188,0.38170662100456615,0.2509495006330004
6,0.1,0.3131597466572836,0.11091538349947154,0.47534991530712306,0.7387387387387389,0.3477187053165215,0.4413758888705143
7,0.2,0.29049793433355076,0.21791215059897318,0.4738898756660746,0.6824523230513247,0.3691182558299986,0.44830771814898795
8,0.5,0.3678699366216589,0.4559726962457338,0.4202567535638339,0.5988992474446816,0.37073509015256584,0.45122054227553
9,1.0,0.41070604522381177,0.5011722779705523,0.3719503694409591,0.5433631921824105,0.38391959798994973,0.4237664604156751
10,5.0,0.4815215431764919,0.6025019722754423,0.35404672093177153,0.45371156786138955,0.5286718827374468,0.5956210902591599
11,10.0,0.33165704352145037,0.5801410743353229,0.35155736627677747,0.41630299251870323,0.5677199702095969,0.696083550913838
12,20.0,0.3166498844992004,0.5268965517241379,0.36423074303616426,0.39156846958940206,0.6264097744360902,0.7730239303843364
13,50.0,0.36666666666666675,0.5268965517241379,0.3852748361069087,0.3791905875682189,0.740072202166065,0.8349271045618436
14,100.0,0.36666666666666675,0.5268965517241379,0.3446276732800824,0.3778782313886142,0.7926829268292682,0.8754130865829477
15,200.0,0.36666666666666675,0.5268965517241379,0.3606579479573952,0.3721739130434783,0.8367635506677141,0.9088716623600344
16,500.0,0.36666666666666675,0.5268965517241379,0.3597848016139879,0.36195115350788176,0.8863941018766757,0.939638187354469
17,1000.0,0.36666666666666675,0.5268965517241379,0.3600753802665231,0.35128036769533816,0.9174375981846745,
18,2000.0,0.36666666666666675,0.5268965517241379,0.38024866785079925,0.34165655533558975,0.9399533966660691,0.009893580260145354
19,5000.0,0.36666666666666675,0.5268965517241379,0.3659737417943107,0.3328149300155521,,0.009893580260145354
