,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.973302822273074,0.9908466819221968,0.998093058733791,0.9759725400457666,0.9992372234935164,0.9996186117467581,1.0,1.0
1,0.002,0.9805491990846682,0.9946605644546148,0.998093058733791,0.9767353165522502,0.9996186117467581,0.9992372234935164,1.0,1.0
2,0.005,0.9969488939740656,0.9973302822273074,0.9973302822273074,0.9794050343249427,0.9996186117467581,0.9992372234935164,0.9996186117467581,1.0
3,0.01,0.998093058733791,0.9992372234935164,0.9973302822273074,0.9813119755911518,0.9996186117467581,0.9996186117467581,0.9996186117467581,0.9996186117467581
4,0.02,0.998093058733791,0.9992372234935164,0.9973302822273074,0.988558352402746,0.9992372234935164,0.9996186117467581,0.9996186117467581,0.9996186117467581
5,0.05,0.9977116704805492,0.9992372234935164,0.998093058733791,0.9946605644546148,0.9996186117467581,0.9992372234935164,0.9984744469870328,0.9996186117467581
6,0.1,0.9977116704805492,0.9992372234935164,0.998093058733791,0.996186117467582,0.9988558352402745,0.9992372234935164,0.998093058733791,0.9992372234935164
7,0.2,0.998093058733791,0.9988558352402745,0.998093058733791,0.9973302822273074,0.9992372234935164,0.9992372234935164,0.9984744469870328,0.998093058733791
8,0.5,0.9988558352402745,0.9992372234935164,0.9988558352402745,0.9977116704805492,0.9992372234935164,0.9984744469870328,1.0,0.9973302822273074
9,1.0,0.9996186117467581,0.9992372234935164,0.9984744469870328,0.9984744469870328,0.9984744469870328,0.9988558352402745,1.0,1.0
10,5.0,0.9988558352402745,1.0,0.9984744469870328,0.9984744469870328,0.9984744469870328,0.9973302822273074,1.0,1.0
11,10.0,0.9988558352402745,1.0,0.9984744469870328,0.9984744469870328,0.998093058733791,0.9969488939740656,1.0,1.0
12,20.0,0.9988558352402745,1.0,0.9984744469870328,0.9984744469870328,0.9977116704805492,0.9954233409610984,1.0,1.0
13,50.0,0.9988558352402745,1.0,0.9984744469870328,0.9988558352402745,0.996186117467582,0.9881769641495042,1.0,1.0
14,100.0,0.9988558352402745,1.0,0.9988558352402745,0.9992372234935164,0.994279176201373,0.9801678108314263,1.0,1.0
15,200.0,0.9988558352402745,0.9996186117467581,0.9988558352402745,0.9992372234935164,0.9881769641495042,0.9774980930587338,1.0,1.0
16,500.0,0.9988558352402745,0.9996186117467581,0.9988558352402745,0.9992372234935164,0.9794050343249427,0.9748283752860412,1.0,1.0
17,1000.0,0.9988558352402745,0.9988558352402745,0.9988558352402745,0.9992372234935164,0.9763539282990084,0.9729214340198322,1.0,1.0
18,2000.0,0.9988558352402745,0.9988558352402745,0.9988558352402745,0.9992372234935164,0.9748283752860412,1.0,1.0,1.0
19,5000.0,0.9988558352402745,0.9996186117467581,0.9992372234935164,0.9992372234935164,0.0,0.0,1.0,1.0
