,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.6921616490371576,0.3798245614035088,0.03167705622465654,0.685507634610233,0.03880389223774049,0.03399040331993256,0.03149398227112211,0.031129790568457046
1,0.002,0.6352853965900667,0.22432478926543953,0.03167705622465654,0.6677966101694915,0.038025185701021355,0.03728900401354929,0.03039682815706187,0.031051266564820407
2,0.005,0.06248207285591357,0.08530140918580376,0.03312432706314523,0.6303387334315169,0.03669737615860659,0.04013910805386607,0.03245217606636538,0.031726825018452864
3,0.01,0.03309976727714257,0.03152752039662102,0.03312432706314523,0.5863719234275296,0.03733033285382632,0.03700827426505888,0.03258774820027602,0.03247388831757753
4,0.02,0.033092651837988894,0.031582246437956554,0.03312432706314523,0.44284982060481803,0.03794956473877084,0.03767103598942164,0.03248515796388335,0.03247388831757753
5,0.05,0.0330804248861912,0.032700540432595696,0.03314210452996973,0.16941665583993765,0.03809094740513596,0.03426583487006448,0.03313378811081721,0.03248878201155267
6,0.1,0.0330804248861912,0.03300995338289026,0.033000844882157855,0.0789983063150254,0.037940575700068084,0.03835568308250864,0.0331463022304409,0.03284319255888584
7,0.2,0.033092651837988894,0.03285207159970397,0.03276451366544389,0.051383321543661084,0.03973429585368073,0.03814126826995866,0.0331430162929954,0.03314420324729603
8,0.5,0.03291606967800317,0.03145824578255388,0.03242982206317562,0.03948679245283019,0.03891628542570257,0.035172571305738046,0.007148075853570766,0.033122648798591496
9,1.0,0.030457973574425062,0.031884728188777064,0.034009275256888245,0.03680895337720038,0.0360144718198451,0.033883174849602175,0.007148075853570766,0.007148075853570766
10,5.0,0.03150259815242494,0.031207598371777476,0.039630038903437734,0.035517087001940006,0.033912356377673286,0.04385450032702209,0.007148075853570766,0.007148075853570766
11,10.0,0.03177896691056023,0.03145657624800547,0.04045867589787971,0.03678464543142572,0.036302348485899374,0.06065105918930834,0.007148075853570766,0.007148075853570766
12,20.0,0.03158961245733171,0.028908808255879336,0.0413716814159292,0.03820391962292235,0.040651417205370466,0.13988637581734376,0.007148075853570766,0.007148075853570766
13,50.0,0.03000034364654807,0.03882258876484349,0.04186455584872471,0.03992499771334492,0.06985077819971118,0.48547873337080755,0.007148075853570766,0.007148075853570766
14,100.0,0.0304022288002786,0.0379164738546969,0.04180300394247498,0.040317616644097005,0.18677460954291447,0.6168987037926068,0.007148075853570766,0.007148075853570766
15,200.0,0.0304022288002786,0.039487758945386066,0.04217119670230581,0.04081759830497912,0.4696392967192315,0.663130659767141,0.007148075853570766,0.007148075853570766
16,500.0,0.030400817188824016,0.03955569641267111,0.04183438757906843,0.04060504618436551,0.6323565624230485,0.72264631043257,0.007148075853570766,0.007148075853570766
17,1000.0,0.030402581723625557,0.03824976997561011,0.042323168662432735,0.04070598471195078,0.6722689075630253,0.7605843768634466,0.007148075853570766,0.007148075853570766
18,2000.0,0.030401170079398247,0.040571942000247864,0.04215626307826031,0.04086598452707761,0.72264631043257,0.007148075853570766,0.007148075853570766,0.007148075853570766
19,5000.0,0.03040328759490144,0.04169384216470738,0.04108386125572352,0.04091001358462283,,,0.007148075853570766,0.007148075853570766
