,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm - linear - 0.005,265,"[4881, 252, 13, 366927]",0.950905902980713,0.9973436861463016,5133,0.973571357335195,4881,366927,252,13
1,nn - relu - 100,387,"[4872, 365, 22, 366814]",0.930303608936414,0.9955046996322027,5237,0.9618004145691441,4872,366814,365,22
2,lg - l2 - 0.2,406,"[4882, 394, 12, 366785]",0.925322213798332,0.9975480179812015,5276,0.96007866273353,4882,366785,394,12
3,stack bagging,204,"[4869, 179, 25, 367000]",0.964540412044374,0.994891704127503,5048,0.9794809897404949,4869,367000,179,25
4,stack bagging,204,"[4869, 179, 25, 367000]",0.964540412044374,0.994891704127503,5048,0.9794809897404949,4869,367000,179,25
