,model,modeltype,param,precision,recall,fscore,no_false
0,svm,linear,0.001,73.60532889258951,99.06611878968995,84.45859872611466,976
1,lg,l2,0.001,87.61682242990653,98.0575270825551,92.54362771020624,423
2,nn,relu,2000.0,90.35148173673329,97.9454613373179,93.99533966660691,335
