,param,svm-linear,svm-rbf,lg-l1,lg-l2,nn-relu,nn-logistic,rf-gini,rf-entropy
0,0.001,0.9934007011755001,0.9773456295108259,,0.9902000816659862,0.4238508239375542,0.2241632278771206,0.10279097137573032,0.3821621199093254
1,0.002,0.9826682789197904,0.8935702509617146,0.5634180610550518,0.9887983706720977,0.34444836094465986,0.20759364647923215,0.02775066951114339,0.40008183306055645
2,0.005,0.9527436047646944,0.6465608465608466,0.5039050296782256,0.9870208882579599,0.40699417152373024,0.19933934178867094,0.027487411204028415,0.33878456101448273
3,0.01,0.9237320211960636,0.6010821446138711,0.5039050296782256,0.982654296087132,0.44047940884923853,0.228536710753844,0.027901219073914556,0.027405012579074472
4,0.02,0.8933406512989389,0.5197193579249495,0.7580193086265961,0.973253493013972,0.3825440313111546,0.2482986287455561,0.26054762412103133,0.027233194318390618
5,0.05,0.8049785690735246,0.5967525332682212,0.7582451773490977,0.9479207151185387,0.3684607266696819,0.37433933358866334,0.276126991300418,0.02798439144962695
6,0.1,0.7200942840306424,0.5737762648198146,0.75800933125972,0.9185171245765902,0.3992159425024502,0.4377686246418338,0.3999504296100463,0.2748271792277862
7,0.2,0.705746462604678,0.5841300191204589,0.7197170645446508,0.8735919899874843,0.40653583901546647,0.4639840561829743,0.6867383512544802,0.39877250409165305
8,0.5,0.5992399166360182,0.5312975440121712,0.6721198790211713,0.7940220922677063,0.4167448205303095,0.5942857142857143,,0.7346845473940872
9,1.0,0.46424161838731126,0.5355969331872946,0.6442219001185927,0.7203065134099617,0.4788401253918495,0.6179519595448799,,
10,5.0,0.49308988197316655,0.40019641541861034,0.4995402063962399,0.5814894123245301,0.6767271216945867,0.8540720027962251,,
11,10.0,0.4826224328593997,0.3851000157505119,0.4731900890437476,0.5258175559380379,0.7618453865336658,0.9149015932521087,,
12,20.0,0.4169225520300239,0.43506493506493504,0.4657077538578777,0.48472828242760807,0.8605142655864741,0.952734375,,
13,50.0,0.3893579735542457,0.4091061265483763,0.45970850963798776,0.4654860516043035,0.9336139276831835,0.982654296087132,,
14,100.0,0.38982374990031105,0.4083201069250689,0.4557658245548616,0.45678781650004674,0.9688120778704807,0.9872081218274111,,
15,200.0,0.38982374990031105,0.4091061265483763,0.4537776127714869,0.45205732778548313,0.9822580645161291,0.9904022871145599,,
16,500.0,0.3560346711340957,0.4091746191193705,0.4547483954980932,0.4482442468139727,0.9884075655887736,,,
17,1000.0,0.35564610011641445,0.4091061265483763,0.453029460811562,0.44738286969253294,0.990392477514309,,,
18,2000.0,0.35564610011641445,0.4091061265483763,0.4539040014854702,0.44640248356464574,,0.013153332813722038,,
19,5000.0,0.35585323238206173,0.4091746191193705,0.4528948587308939,0.4458732330141359,0.013153332813722038,0.013153332813722038,,
