,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm - linear - 0.002,94,"[4876, 76, 18, 367103]",0.9846526655896607,0.9963220269718022,4952,0.9904529758277472,4876,367103,76,18
1,nn - relu - 500,94,"[4855, 55, 39, 367124]",0.9887983706720977,0.9920310584389048,4910,0.9904120767033864,4855,367124,55,39
2,lg - l2 - 0.005,91,"[4867, 64, 27, 367115]",0.9870208882579599,0.9944830404577033,4931,0.9907379134860052,4867,367115,64,27
3,rf - entropy - 0.5,2393,"[4821, 2320, 73, 364859]",0.6751155300378099,0.9850837760523089,7141,0.8011632737847943,4821,364859,2320,73
4,stack bagging,106,"[4797, 9, 97, 367170]",0.99812734082397,0.9801798120147119,4806,0.9890721649484536,4797,367170,9,97
