,model,no_false,confusion_matrix,precision,sensitivity,no_links,F-score,true_pos,true_neg,false_pos,false_neg
0,svm bag,970,"[2650, 943, 27, 534862]",0.7375452268299472,0.9899140829286515,3593,0.8452950558213715,2650,534862,943,27
1,lg bag,411,"[2625, 359, 52, 535446]",0.8796916890080428,0.980575270825551,2984,0.9273979862215157,2625,535446,359,52
2,nn bag,324,"[2619, 266, 58, 535539]",0.9077989601386481,0.9783339559208069,2885,0.941747572815534,2619,535539,266,58
3,stack baggingrelu 2000.0,265,"[2618, 206, 59, 535599]",0.9270538243626062,0.9779604034366829,2824,0.9518269405562625,2618,535599,206,59
